car_speed angle_change(30-60m) angle_change(60-90m) average_angle_change car_x car_y car_s
22.3772 0.00138244 0.010649 0.00601573 1005.66 1142.62 220.187
22.3827 0.00494668 0.0146193 0.00978297 1016.29 1147.2 231.763
22.3824 0.000339695 0.000617867 0.000478781 1822.48 1140.05 1048.63
22.3854 0.000387705 0.000696132 0.000541918 1823.83 1140.13 1049.97
22.419 0.000607317 0.00102104 0.000814177 1829.16 1140.52 1055.32
22.3852 0.000712164 0.00116514 0.000938652 1831.38 1140.72 1057.54
22.4102 0.00080164 0.00128633 0.00104398 1833.15 1140.89 1059.32
22.4355 0.00104382 0.00162207 0.00133294 1837.58 1141.37 1063.78
22.3614 0.00159628 0.00259392 0.0020951 1846.87 1142.45 1073.13
22.3612 0.00195713 0.00359923 0.00277818 1853.49 1143.23 1079.59
22.449 0.0085231 0.0179887 0.0132559 1894.62 1149.86 1120.74
22.3778 0.0104086 0.0209027 0.0156557 1899.38 1150.98 1125.63
22.4427 0.0121165 0.0235396 0.017828 1903.27 1151.94 1129.64
22.3881 0.0123151 0.0238483 0.0180817 1903.71 1152.04 1130.09
22.3787 0.0202917 0.037063 0.0286774 1919.21 1156.01 1145.81
22.378 0.0294894 0.0543467 0.041918 1932.07 1159.64 1159.18
22.4572 0.0305255 0.0563825 0.043454 1933.79 1160.16 1160.42
22.5309 0.0324774 0.060202 0.0463397 1935.93 1160.82 1162.66
22.567 0.0341418 0.0634209 0.0487813 1937.64 1161.37 1164.45
22.3541 0.0358923 0.0667456 0.0513189 1939.35 1161.92 1166.24
22.4852 0.0377381 0.0701648 0.0539514 1941.05 1162.49 1168.04
22.4833 0.0396829 0.0736508 0.0566669 1942.76 1163.07 1169.84
22.6964 0.0417244 0.0771624 0.0594434 1944.46 1163.66 1171.64
22.4093 0.0438667 0.080666 0.0622664 1946.15 1164.27 1173.44
22.505 0.0444192 0.0815376 0.0629784 1946.57 1164.42 1173.89
22.5576 0.0467045 0.0849942 0.0658494 1948.27 1165.05 1175.7
22.4358 0.0490916 0.0883391 0.0687153 1949.95 1165.69 1177.49
22.7147 0.0516071 0.0915557 0.0715814 1951.63 1166.34 1179.3
22.4176 0.0542257 0.0945557 0.0743907 1953.3 1167.02 1181.1
